"","Experiment","Cup","DPI","presence","temp","DTR","gametocytemia"
"328",1,5,28.5,0,21,0,0.000241379310344828
"329",1,6,28.5,1,21,0,0.000241379310344828
"330",1,6,28.5,1,21,0,0.000241379310344828
"331",1,6,28.5,0,21,0,0.000241379310344828
"332",1,6,28.5,0,21,0,0.000241379310344828
"333",1,6,28.5,0,21,0,0.000241379310344828
"334",1,6,28.5,0,21,0,0.000241379310344828
"335",1,6,28.5,0,21,0,0.000241379310344828
"336",1,6,28.5,0,21,0,0.000241379310344828
"337",1,6,28.5,0,21,0,0.000241379310344828
"338",1,6,28.5,0,21,0,0.000241379310344828
"339",1,6,28.5,0,21,0,0.000241379310344828
"340",1,6,28.5,0,21,0,0.000241379310344828
"341",1,7,12.5,0,23,0,0.000241379310344828
"342",1,7,12.5,0,23,0,0.000241379310344828
"343",1,7,12.5,0,23,0,0.000241379310344828
"344",1,7,12.5,0,23,0,0.000241379310344828
"345",1,7,12.5,0,23,0,0.000241379310344828
"346",1,7,12.5,0,23,0,0.000241379310344828
"347",1,7,12.5,0,23,0,0.000241379310344828
"348",1,7,12.5,0,23,0,0.000241379310344828
"349",1,7,12.5,0,23,0,0.000241379310344828
"350",1,7,12.5,0,23,0,0.000241379310344828
"351",1,8,12.5,0,23,0,0.000241379310344828
"352",1,8,12.5,0,23,0,0.000241379310344828
"353",1,8,12.5,0,23,0,0.000241379310344828
"354",1,8,12.5,0,23,0,0.000241379310344828
"355",1,8,12.5,0,23,0,0.000241379310344828
"356",1,8,12.5,0,23,0,0.000241379310344828
"357",1,8,12.5,0,23,0,0.000241379310344828
"358",1,8,12.5,0,23,0,0.000241379310344828
"359",1,8,12.5,0,23,0,0.000241379310344828
"360",1,8,12.5,0,23,0,0.000241379310344828
"361",1,7,14.5,0,23,0,0.000241379310344828
"362",1,7,14.5,0,23,0,0.000241379310344828
"363",1,7,14.5,0,23,0,0.000241379310344828
"364",1,7,14.5,0,23,0,0.000241379310344828
"365",1,7,14.5,0,23,0,0.000241379310344828
"366",1,7,14.5,0,23,0,0.000241379310344828
"367",1,7,14.5,0,23,0,0.000241379310344828
"368",1,7,14.5,0,23,0,0.000241379310344828
"369",1,7,14.5,0,23,0,0.000241379310344828
"370",1,7,14.5,0,23,0,0.000241379310344828
"371",1,8,14.5,0,23,0,0.000241379310344828
"372",1,8,14.5,0,23,0,0.000241379310344828
"373",1,8,14.5,0,23,0,0.000241379310344828
"374",1,8,14.5,0,23,0,0.000241379310344828
"375",1,8,14.5,0,23,0,0.000241379310344828
"376",1,8,14.5,0,23,0,0.000241379310344828
"377",1,8,14.5,0,23,0,0.000241379310344828
"378",1,8,14.5,0,23,0,0.000241379310344828
"379",1,8,14.5,0,23,0,0.000241379310344828
"380",1,8,14.5,0,23,0,0.000241379310344828
"381",1,7,15.5,0,23,0,0.000241379310344828
"382",1,7,15.5,0,23,0,0.000241379310344828
"383",1,7,15.5,0,23,0,0.000241379310344828
"384",1,7,15.5,0,23,0,0.000241379310344828
